icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
71bf00,AAR552  ,Republic of Korea,1728145455.0,1728145455,42.6863,41.6844,10058.4,False,246.9,95.14,0.0,,10530.84,5120,False,0
a9c27a,NKS2399 ,United States,1728145455.0,1728145455,-113.3786,35.6386,8679.18,False,234.92,278.18,-21.13,,9220.2,2033,False,0
a196c0,N201LM  ,United States,1728145455.0,1728145456,-121.2172,38.3533,1950.72,False,71.36,208.41,0.0,,2049.78,,False,0
a4f7cb,RPA4442 ,United States,1728145454.0,1728145455,-80.4008,32.5431,10363.2,False,204.83,209.66,0.0,,10934.7,2774,False,0
a66d27,LXJ513  ,United States,1728145456.0,1728145456,-81.183,42.3486,11650.98,False,239.69,75.96,10.73,,12009.12,,False,0
ad6e7e,N9648M  ,United States,1728145455.0,1728145455,-85.5053,38.1704,464.82,False,57.77,28.16,0.65,,502.92,,False,0
3feace,DMASZ   ,Germany,1728145455.0,1728145455,6.6153,51.4961,495.3,False,35.08,175.79,-0.33,,,7000,False,0
0100a2,MSR533  ,Egypt,1728145446.0,1728145447,16.5189,42.9105,11887.2,False,267.71,124.67,0.0,,12108.18,0447,False,0
ac3b78,SWA2968 ,United States,1728145455.0,1728145456,-77.8881,38.0772,7833.36,False,216.12,220.17,7.15,,8168.64,2125,False,0
a30184,N293KD  ,United States,1728145454.0,1728145455,-85.9738,31.3842,3002.28,False,90.36,352.15,0.0,,3177.54,1467,False,0
a13608,UAL537  ,United States,1728145455.0,1728145455,-100.9038,41.1965,11582.4,False,213.17,331.46,0.0,,12039.6,4007,False,0
a97282,CKS626  ,United States,1728145455.0,1728145455,135.3613,33.9162,12192.0,False,242.16,240.33,0.0,,12885.42,3660,False,0
a624ac,SWA1391 ,United States,1728145455.0,1728145455,-80.9852,28.4492,11887.2,False,222.93,340.31,0.0,,12611.1,1126,False,0
c0193b,,Canada,1728145106.0,1728145262,-64.216,20.5413,10668.0,False,251.44,151.13,0.0,,11292.84,,False,0
a9bb5b,N726RP  ,United States,1728145455.0,1728145455,-84.1609,35.2317,8229.6,False,210.28,116.44,0.0,,8625.84,,False,0
adab31,AAL2232 ,United States,1728145455.0,1728145455,-94.7944,42.827,10972.8,False,208.67,300.36,0.0,,11376.66,,False,0
46b8ad,AEE959  ,Greece,1728145275.0,1728145275,26.1389,35.1208,11582.4,False,237.42,321.86,0.0,,12123.42,,False,0
4402e8,EJU17RW ,Austria,1728145454.0,1728145454,24.3364,37.9804,2308.86,False,146.23,9.93,-3.9,,2468.88,0252,False,0
ad25ec,N94609  ,United States,1728145435.0,1728145435,-81.5255,34.963,1310.64,False,47.16,230.75,-0.65,,1386.84,,False,0
46b8aa,AEE908  ,Greece,1728145456.0,1728145456,24.1334,37.7394,3992.88,False,157.94,112.81,16.91,,4168.14,7405,False,0
a1f9a8,N2260E  ,United States,1728145269.0,1728145299,-97.0097,35.402,586.74,False,57.53,167.08,-2.28,,617.22,,False,0
